Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Payment_Method,Order_Status,Customer_Name,City,Region,Membership_Type,Product_Name,Category,Unit_Price,Brand,Total_Price,Order_Month,Order_Day,Order_Weekday
O0051,2026-01-01,C008,P017,4,Net Banking,Delivered,Sara Ahmed,Hyderabad,South,Premium,Yoga Mat,Sports,899,FitLife,3596,January,1,Thursday
O0091,2026-01-01,C002,P011,2,Credit Card,Delivered,Zoya Khan,Delhi,North,Regular,Air Fryer,Home & Kitchen,4999,CookSmart,9998,January,1,Thursday
O0022,2026-01-02,C023,P014,4,Net Banking,Delivered,Nikhil Sood,Chandigarh,North,Premium,Data Science Handbook,Books,899,DataPress,3596,January,2,Friday
O0106,2026-01-02,C001,P009,1,Net Banking,Delivered,Aarav Sharma,Srinagar,North,Premium,Coffee Maker,Home & Kitchen,3499,HomeBrew,3499,January,2,Friday
O0076,2026-01-03,C019,P015,1,Debit Card,Delivered,Yusuf Dar,Srinagar,North,New,Machine Learning Basics,Books,999,AIPress,999,January,3,Saturday
O0108,2026-01-04,C006,P020,1,Net Banking,Delivered,Ishita Gupta,Bengaluru,South,Premium,Dumbbell Set,Sports,1999,StrongFit,1999,January,4,Sunday
O0041,2026-01-04,C008,P012,5,Cash on Delivery,Delivered,Sara Ahmed,Hyderabad,South,Premium,Water Bottle,Home & Kitchen,699,HydroLife,3495,January,4,Sunday
O0018,2026-01-05,C003,P011,4,Net Banking,Cancelled,Rohan Mehta,Mumbai,West,Premium,Air Fryer,Home & Kitchen,4999,CookSmart,19996,January,5,Monday
O0104,2026-01-05,C011,P006,3,Debit Card,Shipped,Vivaan Kapoor,Jaipur,North,New,Hoodie,Clothing,1599,UrbanWear,4797,January,5,Monday
O0110,2026-01-05,C007,P005,1,UPI,Delivered,Aditya Verma,Pune,West,Regular,Power Bank,Electronics,1199,VoltPlus,1199,January,5,Monday
O0028,2026-01-07,C006,P011,3,UPI,Delivered,Ishita Gupta,Bengaluru,South,Premium,Air Fryer,Home & Kitchen,4999,CookSmart,14997,January,7,Wednesday
O0056,2026-01-08,C015,P018,3,Debit Card,Delivered,Karan Joshi,Chandigarh,North,Regular,Football,Sports,799,SportZone,2397,January,8,Thursday
O0021,2026-01-09,C026,P019,1,Debit Card,Cancelled,Fatima Noor,Srinagar,North,Regular,Cricket Bat,Sports,2499,BatPro,2499,January,9,Friday
O0046,2026-01-09,C019,P012,2,Cash on Delivery,Delivered,Yusuf Dar,Srinagar,North,New,Water Bottle,Home & Kitchen,699,HydroLife,1398,January,9,Friday
O0043,2026-01-10,C003,P012,4,Net Banking,Delivered,Rohan Mehta,Mumbai,West,Premium,Water Bottle,Home & Kitchen,699,HydroLife,2796,January,10,Saturday
O0027,2026-01-11,C002,P008,1,Cash on Delivery,Shipped,Zoya Khan,Delhi,North,Regular,Sneakers,Clothing,2999,StepUp,2999,January,11,Sunday
O0034,2026-01-13,C010,P020,5,Credit Card,Delivered,Mehak Bhat,Srinagar,North,Premium,Dumbbell Set,Sports,1999,StrongFit,9995,January,13,Tuesday
O0045,2026-01-14,C006,P017,1,Debit Card,Cancelled,Ishita Gupta,Bengaluru,South,Premium,Yoga Mat,Sports,899,FitLife,899,January,14,Wednesday
O0112,2026-01-15,C012,P006,4,UPI,Delivered,Aisha Mir,Delhi,North,Premium,Hoodie,Clothing,1599,UrbanWear,6396,January,15,Thursday
O0029,2026-01-15,C005,P017,1,Cash on Delivery,Cancelled,Kabir Ali,Lucknow,North,New,Yoga Mat,Sports,899,FitLife,899,January,15,Thursday
O0079,2026-01-16,C021,P012,5,Debit Card,Delivered,Aman Kumar,Delhi,North,Regular,Water Bottle,Home & Kitchen,699,HydroLife,3495,January,16,Friday
O0094,2026-01-17,C011,P002,4,Net Banking,Cancelled,Vivaan Kapoor,Jaipur,North,New,Mechanical Keyboard,Electronics,2499,KeyPro,9996,January,17,Saturday
O0099,2026-01-17,C010,P001,2,UPI,Shipped,Mehak Bhat,Srinagar,North,Premium,Wireless Headphones,Electronics,1499,SoundMax,2998,January,17,Saturday
O0081,2026-01-19,C022,P018,2,Credit Card,Delivered,Alina Shah,Pune,West,New,Football,Sports,799,SportZone,1598,January,19,Monday
O0102,2026-01-20,C021,P012,3,Credit Card,Shipped,Aman Kumar,Delhi,North,Regular,Water Bottle,Home & Kitchen,699,HydroLife,2097,January,20,Tuesday
O0071,2026-01-21,C020,P016,1,UPI,Delivered,Priya Menon,Chennai,South,Premium,Atomic Habits,Books,599,MindReads,599,January,21,Wednesday
O0120,2026-01-21,C013,P020,1,Cash on Delivery,Cancelled,Rahul Das,Kolkata,East,Regular,Dumbbell Set,Sports,1999,StrongFit,1999,January,21,Wednesday
O0025,2026-01-22,C026,P008,2,Cash on Delivery,Cancelled,Fatima Noor,Srinagar,North,Regular,Sneakers,Clothing,2999,StepUp,5998,January,22,Thursday
O0105,2026-01-22,C020,P016,4,UPI,Delivered,Priya Menon,Chennai,South,Premium,Atomic Habits,Books,599,MindReads,2396,January,22,Thursday
O0115,2026-01-23,C014,P007,2,Credit Card,Delivered,Sana Malik,Mumbai,West,New,Jacket,Clothing,2499,NorthStyle,4998,January,23,Friday
O0002,2026-01-25,C006,P003,2,Debit Card,Delivered,Ishita Gupta,Bengaluru,South,Premium,Wireless Mouse,Electronics,899,TechGear,1798,January,25,Sunday
O0032,2026-01-25,C017,P005,2,Credit Card,Shipped,Dev Patel,Ahmedabad,West,Premium,Power Bank,Electronics,1199,VoltPlus,2398,January,25,Sunday
O0038,2026-01-25,C024,P008,1,Credit Card,Delivered,Maryam Khan,Hyderabad,South,Regular,Sneakers,Clothing,2999,StepUp,2999,January,25,Sunday
O0011,2026-01-26,C022,P020,2,Net Banking,Cancelled,Alina Shah,Pune,West,New,Dumbbell Set,Sports,1999,StrongFit,3998,January,26,Monday
O0107,2026-01-26,C021,P003,2,Cash on Delivery,Delivered,Aman Kumar,Delhi,North,Regular,Wireless Mouse,Electronics,899,TechGear,1798,January,26,Monday
O0084,2026-01-27,C013,P004,3,Credit Card,Delivered,Rahul Das,Kolkata,East,Regular,Smart Watch,Electronics,3299,FitTech,9897,January,27,Tuesday
O0069,2026-01-27,C028,P004,4,Debit Card,Delivered,Inaya Khan,Mumbai,West,Regular,Smart Watch,Electronics,3299,FitTech,13196,January,27,Tuesday
O0086,2026-01-28,C024,P006,5,Debit Card,Delivered,Maryam Khan,Hyderabad,South,Regular,Hoodie,Clothing,1599,UrbanWear,7995,January,28,Wednesday
O0026,2026-01-28,C015,P005,2,UPI,Delivered,Karan Joshi,Chandigarh,North,Regular,Power Bank,Electronics,1199,VoltPlus,2398,January,28,Wednesday
O0042,2026-01-29,C012,P008,5,Net Banking,Delivered,Aisha Mir,Delhi,North,Premium,Sneakers,Clothing,2999,StepUp,14995,January,29,Thursday
O0064,2026-01-30,C007,P009,4,Credit Card,Cancelled,Aditya Verma,Pune,West,Regular,Coffee Maker,Home & Kitchen,3499,HomeBrew,13996,January,30,Friday
O0088,2026-01-30,C022,P008,2,Debit Card,Cancelled,Alina Shah,Pune,West,New,Sneakers,Clothing,2999,StepUp,5998,January,30,Friday
O0082,2026-01-30,C014,P013,4,Cash on Delivery,Delivered,Sana Malik,Mumbai,West,New,Python Programming,Books,749,TechBooks,2996,January,30,Friday
O0054,2026-01-30,C019,P007,3,Credit Card,Cancelled,Yusuf Dar,Srinagar,North,New,Jacket,Clothing,2499,NorthStyle,7497,January,30,Friday
